  UID   PID  PPID   C STIME   TTY           TIME CMD
    0     1     0   0 27 825  ??        66:30.75 /sbin/launchd
    0   502     1   0 27 825  ??        29:05.96 /usr/libexec/logd
    0   504     1   0 27 825  ??         2:18.64 /usr/libexec/UserEventAgent (System)
    0   506     1   0 27 825  ??        18:11.14 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd
    0   507     1   0 27 825  ??         1:54.67 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
    0   510     1   0 27 825  ??         0:50.74 /usr/sbin/systemstats --daemon
    0   513     1   0 27 825  ??        13:02.98 /usr/libexec/configd
    0   515     1   0 27 825  ??        10:19.56 /System/Library/CoreServices/powerd.bundle/powerd
    0   516     1   0 27 825  ??         0:00.06 /usr/libexec/IOMFB_bics_daemon
  306   524     1   0 27 825  ??         0:00.03 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
    0   526     1   0 27 825  ??         0:15.01 /usr/libexec/watchdogd
    0   530     1   0 27 825  ??        41:49.07 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Support/mds
    0   532     1   0 27 825  ??         0:01.86 /usr/libexec/kernelmanagerd
    0   533     1   0 27 825  ??         0:33.72 /usr/libexec/diskarbitrationd
    0   537     1   0 27 825  ??         1:07.97 /usr/sbin/syslogd
    0   540     1   0 27 825  ??         0:59.76 /usr/libexec/thermalmonitord
    0   541     1   0 27 825  ??        23:54.21 /usr/libexec/opendirectoryd
    0   543     1   0 27 825  ??         5:30.05 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
    0   544     1   0 27 825  ??         8:55.95 /System/Library/CoreServices/launchservicesd
  266   545     1   0 27 825  ??         0:44.31 /usr/libexec/timed
  213   546     1   0 27 825  ??         0:06.16 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
    0   547     1   0 27 825  ??         1:15.42 /usr/sbin/securityd -i
    0   552     1   0 27 825  ??         0:00.19 autofsd
    0   553     1   0 27 825  ??        12:54.10 /usr/libexec/dasd
  241   555     1   0 27 825  ??         1:54.48 /usr/sbin/distnoted daemon
    0   559     1   0 27 825  ??         0:01.90 /System/Library/CoreServices/logind
    0   560     1   0 27 825  ??         0:01.43 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
    0   561     1   0 27 825  ??         0:00.10 /usr/sbin/KernelEventAgent
    0   564     1   0 27 825  ??        61:05.34 /usr/sbin/bluetoothd
    0   565     1   0 27 825  ??         5:05.92 /usr/sbin/notifyd
    0   567     1   0 27 825  ??        10:22.98 /usr/libexec/corebrightnessd --launchd
    0   568     1   0 27 825  ??         2:03.48 /usr/libexec/AirPlayXPCHelper
    0   569     1   0 27 825  ??         0:56.84 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
   88   572     1   0 27 825  ??       1206:32.29 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
